,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,date,target
0,0.08975764,-1.3702849,-2.080234,-1.39453,-2.3393025,-1.7134634,-0.27330542,2.1768878,-3.557811,-1.6222656,0.12236977,-2.0162644,0.29451236,0.051797755,-2.2643867,-2.3625164,0.37047914,-0.15886477,-0.66591495,-1.7003988,1.0255184,-0.1914281,-0.6013635,2.280127,2.39693,-0.8924703,-0.4814023,-0.064906195,0.44348288,0.3003272,-0.42617452,1.7435917,-2.5174372,0.40883398,-1.8628207,1.3434868,0.040743783,-3.5983846,-0.39879137,-0.029216176,0.72082984,-2.8667245,-1.1463927,-0.91572595,-0.041201588,1.3343828,1.6048884,2.8332694,0.4543295,-0.278464,0.0022886628,-0.66650504,-2.7005053,0.36124158,3.6103203,-0.45878288,1.0659031,0.22507688,-1.6065679,-0.13998227,-0.8000819,3.201825,-2.0240564,-1.1388377,-0.58457077,3.0606985,1.3022375,1.9020706,-1.8470672,0.7430181,-0.08346626,-1.0231092,1.8591657,-0.34313998,-0.8193631,-0.11238175,0.57944673,0.8246442,0.28100106,0.91796714,0.8536669,-0.08202781,0.54554105,-0.59119076,2.475011,2.155356,1.8719479,0.7941272,-1.4693484,2.8135688,-2.4247603,0.8882008,3.5741916,0.941335,3.9027064,1.2131746,0.85975003,3.6194186,2.155184,0.95912117,2022-09-29,positive
1,0.17218037,-2.7496836,-2.5456996,0.007910378,-1.1082271,-0.6118248,-2.435538,3.0390816,-4.314537,-0.057409268,-1.3749022,0.79174626,0.010353622,1.0922467,-1.566508,-0.3395096,-0.054108877,-1.0262014,0.57418215,0.21344607,0.3687138,-1.5965805,-0.6537024,0.6354945,2.5568845,-0.9566872,0.1447819,-0.21722627,-1.5166434,-0.012806958,2.524746,0.6932671,1.700273,-0.06783469,-2.018119,1.2935835,1.2053151,-1.8423555,-1.3532898,-1.6642013,0.6705012,-1.0036515,-0.10170555,-1.4471446,0.40035728,0.34972107,-1.4385358,2.1509318,-0.6518129,0.18654563,-1.3822522,-1.1574512,-3.5058322,0.9625638,0.6531298,0.54007506,2.0127814,1.6892467,-0.31876454,-0.29540464,0.37290204,1.0271719,-2.2968266,-1.9876848,-1.1047398,2.4970043,1.3036661,1.7818785,-2.1383164,1.5051306,0.92544574,-0.07505402,0.53559655,0.46740282,-2.5994809,1.9339646,-0.67065686,1.0382007,-1.1221095,0.6278382,-1.3328614,-1.3860313,-0.049415953,0.046735097,-0.7452754,1.5510893,0.8111114,0.62577367,0.11144866,-0.6786441,-0.23335516,0.7592743,0.94867545,-0.8964312,-0.023396805,1.001552,0.8869819,0.59236133,0.40352377,2.059588,2022-09-28,positive
2,-1.2755662,-2.4596868,-0.5428789,2.1607466,-1.3245926,0.7055875,0.19218394,0.5003712,-1.2538918,-0.9259442,3.237052,0.36881104,-2.69647,0.20650916,0.16998094,-0.9176805,-1.2799405,0.64320874,-0.46002272,-2.0540879,1.6325941,-0.72277516,0.7526715,1.2656199,0.4452219,-3.6305943,-4.3996687,-0.3569666,-0.7167789,-2.1841471,-0.018665737,2.2198699,1.7009166,0.47603196,-0.9890311,0.89808035,1.2046797,-0.7602214,1.0998143,-1.1150155,-0.89611566,-1.1509421,1.8920391,-0.13415213,-1.925749,1.4572437,0.42896003,2.3087478,0.31196943,-1.0769253,-0.45377997,-0.2047326,-2.3471248,-1.2024332,1.699029,-0.7494183,1.8341174,2.0147927,-1.8881347,0.32944348,0.99565125,1.0302125,-0.745078,-0.62706727,0.088105924,0.08746493,-0.144638,3.7394218,-1.2188431,2.0372667,-1.6062853,-0.5461817,-1.0117973,1.717904,-0.85872555,-0.0065937187,-1.1432035,-0.8016843,3.4433231,0.23199154,-1.3612978,0.47612977,-2.2011478,0.61200947,0.86428696,1.1734091,1.8195438,-2.2497077,-1.1120338,-0.31198984,0.01496741,-0.86353886,0.10198215,2.9263504,1.4690638,1.0640341,0.33840168,-0.47498834,-1.153623,-0.7504298,2022-09-27,positive
3,0.5328895,-2.1670878,0.7539321,1.2302024,-1.3909595,-1.6532928,-2.0513535,2.8139164,-2.2793195,-2.072674,-1.5725828,-0.50455207,-0.5075335,1.1727045,-0.34112403,-0.8735316,-1.7517186,1.0665543,0.9659145,-1.1061097,-1.9003773,0.06658308,-1.7681452,-0.71653765,0.7664541,0.7764668,-3.1355593,-0.019349325,-0.9937313,-1.3263865,0.8080383,1.2158002,-0.7279596,-0.3853112,-1.5314258,2.5107362,-1.1177768,-1.3459386,-2.2498176,-0.37694237,-3.1814191,-1.2658141,-2.4020896,-1.5422258,-0.3637174,1.3907763,1.6600035,0.6408382,0.35678208,-0.6227787,-0.66600907,-1.6042347,0.15701069,0.96446913,2.974377,1.5709957,3.1373394,2.5291996,-1.3575193,-0.6253325,-1.4560311,1.4120997,1.8223293,-0.8823552,0.84657615,2.780283,1.1643689,1.4071543,-2.605335,1.7360355,1.1361433,1.8061638,-3.01449,-0.21906117,-1.4218653,0.111206315,-0.1849332,-0.7136298,-1.4512722,0.5814125,-0.8150376,-0.14259656,-1.6446608,1.2041003,0.6822605,1.1624609,0.25446156,0.55276084,-1.4941536,2.0778854,-1.5087646,-1.2915001,-1.2582031,-1.5871497,-0.5129311,-0.86560416,0.09042913,-0.49087998,0.51825047,1.4969009,2022-09-26,negative
4,-0.9137119,-2.2310905,0.32942176,1.0959702,-1.8436837,-1.1933267,-1.5201951,2.3987193,-2.4967217,-0.32283005,0.9532133,1.3388635,-0.76635724,-0.7369379,-0.9311428,-0.16096506,-0.6713685,0.7412031,0.4043027,-1.9455965,1.3683826,-0.6493578,-1.1065543,0.38029066,1.5345184,-1.8160404,-2.101873,-3.2189796,-0.89691526,-0.0342038,1.3541876,2.732895,-0.61461675,1.2335516,-2.0467799,1.554542,0.90048885,-2.7043393,-0.28997147,-1.0251089,-0.6371058,1.6192183,0.9725926,-2.5769045,-1.0813717,1.2042755,1.6965369,-0.99864095,1.1217593,0.47182766,2.015508,1.592451,-1.7112976,2.5443316,0.80404717,0.4841136,0.97435546,1.5854567,0.024236953,0.37977767,1.0575631,0.059635844,0.9786665,-1.5470273,0.017209528,0.99447757,-0.34084308,2.7920194,0.64139616,-1.4318662,0.06417029,2.2247815,-1.396899,-1.6361423,-3.5424054,0.05159979,-0.6477529,-1.0109867,-0.8070732,-0.24502213,-1.2488765,-1.8309814,-0.56599206,0.4282319,0.85629076,2.5742884,-0.5861392,-1.0852405,0.6739764,1.6196533,-1.0759676,-3.2183402,3.6902537,-1.2205288,1.0513,1.4282056,2.8537335,0.47811416,-0.36821502,0.8587702,2022-09-25,negative
5,0.9165091,-0.39807326,-1.7430062,0.96645933,-0.6171888,1.1839843,-1.2194502,-0.7854039,-3.0841312,1.7888722,-0.9708487,-0.4720684,0.28828242,0.8178304,-1.8761829,0.3880352,0.17004153,0.6114656,-3.2707589,-2.1475477,-0.8578634,0.36978465,-0.1415296,1.7939663,1.9045451,-2.7998543,-2.5103986,0.029150939,-0.08801358,0.3276545,1.1237091,0.525674,-0.43238324,2.2736843,-0.28549665,1.4808996,1.7292198,-0.3155209,-0.18285881,-1.4463065,0.4514649,1.0041201,-1.1484919,-2.133937,1.7477185,0.33507115,-1.4602599,0.24886642,-1.6588223,-0.8566109,1.1252472,-0.26243386,-0.2188615,-0.14693859,-1.0699165,1.0001924,1.8603407,1.9572043,-1.9974931,2.4417205,0.91515726,-0.7505649,1.4033986,1.2402062,0.7524271,1.3972242,1.0822474,4.4773717,-0.88519084,0.52963644,-2.4778104,1.8650248,-2.525797,-2.5710614,-0.6858497,-0.94309956,0.72066057,-0.35823986,1.7056562,-1.9352862,1.9100873,0.6703857,-1.4330143,0.8884886,1.18522,2.3107,0.8795981,0.6452419,-3.3232439,0.12011796,-1.2953205,1.3917159,1.5768768,0.86482674,-1.0789541,2.0423625,1.4590025,-0.30617285,-0.3664557,2.3035214,2022-09-24,negative
6,-2.9529448,-0.5226043,-2.032734,3.883433,0.052890535,0.29812682,-0.030748127,-0.5851514,-0.23274274,-1.940812,1.3377802,1.5032732,-0.6551906,0.15469919,0.71604127,-1.6602145,-2.5410402,-0.9509237,-2.3647156,-3.4498167,1.5572821,1.5904055,-0.024471778,-2.045822,1.1190532,-0.89885885,-0.27581176,-0.7155478,-0.69991904,-0.15880576,-0.9298972,1.7035377,-0.2876383,-1.727744,2.1785288,3.106505,0.9318917,0.30760267,0.55749243,-1.6675417,0.54982114,1.857555,0.56172264,-1.1580137,-0.5313389,-0.81795645,-0.10328896,-0.24055398,0.8137704,-0.5754269,2.9000313,-0.58618057,0.92533916,1.0091136,-1.8048512,1.772704,2.8306587,0.046028335,-0.7733081,1.3098001,-0.36198214,1.6802849,1.4113446,-1.6303273,-0.006712331,1.3490753,-1.9884104,1.1847647,-1.0772913,1.5614233,0.09816167,0.4459329,-2.7080343,-1.4324745,-0.9370375,2.5663638,-1.2433182,-4.3619456,0.62234086,-0.2411905,-0.8805738,3.2393005,-1.1217326,1.5568279,-0.18158862,1.0505286,0.17061076,-1.783813,-2.226213,-0.08590515,0.7668355,1.5329909,0.9685504,0.1264982,0.2671992,-0.1877652,2.3206882,-1.5571728,-0.64991844,1.0807396,2022-09-23,positive
7,-0.75077504,-0.29374164,-2.256821,0.003842348,-1.0221301,0.0046762004,-3.610269,0.5483548,-2.438379,-1.8321526,-0.79777545,-1.8370134,-0.2333674,0.7358614,-0.31681454,-2.8669717,0.34612143,-4.1300497,0.9686485,0.9798569,-2.0452807,1.0243504,1.4815412,0.7663441,1.1553632,-0.53128356,-2.314613,-1.2029874,-0.70930374,-0.6679993,0.1638776,3.1582437,-1.3209708,-0.48132557,0.30844948,-0.45631436,1.2357861,-1.3384005,-0.22075745,-1.1352737,0.5903389,-0.82854027,0.43835336,-1.4263127,0.40937424,1.7537807,-1.4500641,0.8451728,-0.25690725,-1.6227998,-0.44635585,-0.67318225,-3.9518814,-0.6136525,2.8050096,-0.502588,-1.4915354,0.10091554,-2.510402,0.9925835,2.1473095,1.325493,-1.0585519,0.053183615,-0.27299067,2.1642108,0.773238,0.5891301,-2.9855568,1.0572052,2.0643027,-0.37020802,-2.237529,-1.6664394,-3.348286,0.35013375,-1.2937346,-2.0139496,-0.6609928,-1.2636764,1.0726293,3.1409469,0.12950385,0.20777881,1.3168811,1.2963718,-1.2449112,0.13908622,0.20463765,1.3095813,0.4258265,1.4750602,1.7985542,-2.549495,2.2899644,1.5118966,1.0294126,1.8479589,-1.6739659,-0.8661938,2022-09-22,positive
8,0.87105167,-1.1874694,-3.7398376,0.5472797,-1.8743712,2.4252243,-0.83490777,-0.036738988,-1.1996539,-0.17866434,1.3531892,-2.2734833,0.04249225,-0.42950118,-1.0745642,-2.1976795,-0.22556274,-2.121778,-2.06439,-2.8458674,0.45101422,0.4102823,-0.7043243,-0.7939285,3.1938374,-2.637892,-1.6613592,-1.3087463,1.2252574,-0.8895836,-0.6495439,0.017390043,3.190161,-0.5347754,0.14433506,1.5475602,-2.053517,-1.8568559,-1.3153409,-2.2616723,1.3064884,1.3856,-1.2781605,-1.4038056,-2.4615648,0.60593134,1.3594248,-0.79019135,0.056302328,0.77032465,-0.2227131,-1.1310233,1.0836059,-2.1901264,1.315361,0.27398437,2.2941148,0.76768327,-3.141988,0.69328856,0.34867573,4.375799,2.4182549,-0.49131814,1.833523,-0.13427608,1.1926959,1.0017542,-0.3083201,2.3118162,2.343972,2.1550734,-2.7659547,0.24833016,0.8482453,0.8291271,-1.0887098,-0.45066494,2.3179271,0.41918954,0.05889668,2.081974,0.9111034,0.74328005,-0.17144468,0.3050547,1.994893,-1.0618943,-1.1246649,2.2679522,-1.0991911,1.123088,0.8805779,0.67705625,0.24959011,1.564909,-1.2186788,0.07246773,-2.403997,0.5439173,2022-09-21,positive
9,-1.9894902,-2.3116858,-1.2942033,-0.12737596,-2.481293,0.8792036,-2.4114752,0.1154226,-1.0594066,-2.4174526,-1.3431237,0.2507649,-0.17484285,1.9528964,1.0656092,-0.93167514,0.33591425,-1.9880859,-2.795403,0.6783464,0.46457946,-0.31642973,-1.8771317,0.17488998,2.1970477,-0.7748497,-0.6810268,-1.5081906,-2.2437088,-0.11895914,1.6300519,2.0839398,-1.5435561,0.38571036,-1.1183524,-0.9776185,1.1636813,-3.5879955,-0.7208425,-2.7785575,0.29293248,-3.1157353,-0.041278433,1.6262121,-2.3924918,0.1927657,1.3058598,1.5348316,0.0075369594,-1.4147946,0.7362441,-1.0062546,-1.3936867,-1.5307701,-0.113770194,-2.0402884,0.42375976,2.0163867,-2.5781507,1.9264424,-0.79805154,-0.051078897,-1.3200352,-0.34001857,-0.39819112,0.46702728,-0.24519567,1.5247465,0.5990119,-0.23638509,0.19982134,-1.3395977,1.3539777,-0.44454688,-0.24369647,-1.8929319,0.53630036,-0.93900156,0.98736584,-0.057204,-0.016731346,0.55859286,0.13582683,0.91702735,1.6035619,1.2258221,1.0932187,-1.5468608,0.87050205,2.4778163,0.015669016,-0.4851289,0.5967955,1.1825346,0.76274765,2.3143096,-1.4192067,-0.063401185,0.29523972,0.1083077,2022-09-20,positive
10,-0.9528597,0.3074741,-1.9401585,1.5447885,-3.179542,1.7421778,-1.5694596,0.53006124,-1.4639819,3.3928156,-0.84497714,2.1038888,-2.239583,0.55461764,-0.99707043,0.113313004,-1.1664591,1.481472,-1.4402943,-1.2252741,1.3072165,0.70833844,0.85889435,-0.6699377,3.113867,0.4540833,0.19959918,-1.6778656,1.1179698,-2.4551053,-0.19456673,1.0922843,2.622486,2.7559228,-1.6551356,1.0614479,0.2825381,-1.9690632,-2.005173,0.619766,1.1360949,-0.39962077,0.39965332,-3.5585122,0.32127836,0.00224431,0.2051112,-1.1730442,0.32587925,1.854644,0.31972417,0.65814495,-1.9723898,2.8414512,-2.9029503,-3.4064283,0.603649,0.04109082,-2.5638318,0.4966992,-1.4154726,-0.47335473,-1.1857706,-1.5162896,2.5919962,3.9113476,0.93588126,1.0410718,0.27885222,1.524805,1.6924845,-0.23517317,0.55277985,-2.1184347,-1.139388,0.67510724,0.50290805,-0.053197127,-0.57372016,-1.4280853,0.07343943,2.4490047,-1.2095777,-0.87939185,-0.9002133,1.89249,-1.5549328,-2.7054985,-0.4578327,1.8062694,-0.5370096,-0.37360033,1.9428968,-0.09903318,0.65679604,2.197608,1.6420139,-1.6274171,-1.4796466,-0.4932226,2022-09-19,negative
11,0.9882166,-1.7589104,-2.2413087,-0.50258625,0.7966777,1.1243588,-0.4451598,1.9188893,-2.1321058,-0.13320047,-0.11306671,0.991586,-1.9734817,1.4378744,-1.6958529,-0.66958386,-0.35341638,2.5525668,0.73865753,-0.37231258,1.7518852,1.6439059,-0.7631342,-1.3461622,1.0772923,-0.6365639,-2.101769,-1.1725008,1.6038039,-2.02567,-2.9335399,1.4496477,-0.4341094,0.905133,1.5750372,-0.38444048,0.88924503,-2.2673228,-2.7674916,-1.483729,1.0770737,0.1258365,1.6637473,-2.4798124,-1.4954317,-0.14511546,-1.3802651,-0.15934639,-0.71121186,-0.7030423,0.36837056,-3.3434632,-1.1594175,0.36887932,-1.6456884,2.967354,0.9861387,0.6593583,-3.2292008,1.4596523,2.5661612,2.5007262,-2.5506537,-1.403115,-1.5643861,-0.5046037,2.105811,-0.45710114,-1.2150024,0.8432018,-0.3041798,-0.102093875,-2.26843,-3.8816001,-0.9422283,-0.47105828,0.118180625,-0.21168938,1.0669326,-0.48522186,-2.217234,0.74568784,-0.036605187,0.52792525,-0.7393566,1.3062696,-0.11258273,-1.7040118,-0.6604528,-1.069034,-1.236444,2.1808925,-0.06102098,0.5071836,-1.1555501,2.8112376,-0.7759667,0.88616985,-0.78842294,1.1323911,2022-09-18,negative
